COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"ITALY","TAORMINA","Ospedale ""San Vincenzo","ISR06138","1.2",10/25/2019 11:10:15 AM,"NO","NO","YES"
"CHINA","???","????????","ISR55503","1.1",10/25/2019 10:17:00 AM,"NO","NO","YES"
"CHINA","????","?????????????????","ISR54104","2.1",10/25/2019 10:07:11 AM,"NO","NO","YES"
"CHINA","???","???????????????","ISR50502","2.1",10/25/2019 9:27:01 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR53161","2.3",10/25/2019 4:06:16 PM,"YES","NO","NO"
"TURKEY","ISTANBUL","FSM EGITIM VE ARASTIRM","ISR50280","2.1",10/25/2019 12:30:08 AM,"NO","NO","YES"
"TURKEY","ISTANBUL","FSM EGITIM VE ARASTIRM","ISR52789","2.3",10/25/2019 11:10:58 PM,"NO","NO","YES"
"CHINA","???","????????????","ISR62349","1.1",10/25/2019 10:01:47 AM,"NO","NO","YES"
"TURKEY","SAKARYA","SAKARYA YENIKENT DEVLE","ISR50392","1.1",10/25/2019 12:10:12 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR62923","2.1",10/25/2019 10:18:39 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR56080","1.3",10/25/2019 9:41:50 AM,"YES","NO","NO"
"CHINA","???","??????????????","ISR51839","2.1",10/25/2019 3:49:42 PM,"NO","NO","YES"
"CHINA","????","?????????????????","ISR52090","2.1",10/25/2019 9:43:52 AM,"NO","NO","YES"
"ARGENTINA","Buenos Aires","FUNDACION FAVALORO-PAR","ISR06740","2.1",10/25/2019 6:27:13 PM,"NO","NO","YES"
"SPAIN","VALENCIA","HOSP.UNIV.DR.PESET/ALM","ISR05766","2.1",10/25/2019 3:13:32 PM,"NO","NO","YES"
"CHINA","???","??????????","I1SR03859","1.1",10/25/2019 3:39:32 PM,"NO","NO","YES"
"AUSTRALIA","NOUMEA, NEW CALEDONIA","MEDI SERVICES SARL","ISR03613","1.1",10/25/2019 7:09:44 AM,"NO","NO","YES"
"BELGIUM","LODELINSART","I.S.P.P.C. SCRL","ISR52865","2.1",10/25/2019 8:10:26 AM,"NO","NO","YES"
"BRAZIL","BELO HORIZONTE","HEMOMINAS CENTRAL","ISR02856","1.1",10/25/2019 1:31:59 AM,"NO","NO","YES"
"BRAZIL","CURITIBA","LAB BOM JESUS","ISR54162","1.2",10/25/2019 12:08:25 AM,"YES","NO","NO"
"CHINA","???","?????????","ISR54669","1.2",10/25/2019 9:07:16 AM,"YES","NO","NO"
"GERMANY","BERLIN","LABOR AM SANA KLINIKUM","I1SR56629","1.1",10/25/2019 12:12:20 PM,"YES","NO","NO"
"CHINA","??","??????????","ISR53569","1.1",10/25/2019 8:31:19 AM,"NO","NO","YES"
"TURKEY","IZMIR","IZMIR IL SAGLIK MUDURL","ISR55668","2.1",10/25/2019 7:12:41 PM,"NO","NO","YES"
"CZECH REPUBLIC","Znojmo","synlab czech s.r.o.","ISR55481","1.1",10/25/2019 11:08:25 AM,"NO","NO","YES"
"USA","Boston","TUFTS MEDICAL CENTER","ISR51497","2.2",10/25/2019 12:29:23 PM,"NO","NO","YES"
"CHINA","??","??????????????????","ISR52867","2.1",10/25/2019 9:25:19 AM,"NO","NO","YES"
"SLOVENIA","LJUBLJANA","ADRIA LAB D.O.O.","ISR05216","2.2",10/25/2019 8:32:57 AM,"YES","NO","YES"
"ROMANIA","IASI","LABORATOARELE SYNLAB I","I1SR51047","1.2",10/25/2019 11:14:46 AM,"NO","NO","YES"
"AUSTRALIA","BOWEN HILLS","SNP - BOWEN HILLS","ISR51738","2.3",10/25/2019 7:35:36 PM,"NO","NO","YES"
"JAPAN","???","???????????","ISR50432","1.1",10/25/2019 12:38:48 PM,"NO","NO","YES"
"CHINA","???","????????","ISR56070","2.1",10/25/2019 10:08:13 AM,"NO","NO","YES"
"CHINA","???/027","????????????????????","ISR54874","2.1",10/25/2019 10:30:12 AM,"NO","NO","YES"
"ARGENTINA","BUENOS AIRES","HTAL ARGERICH","ISR07280","2.2",10/25/2019 11:03:00 AM,"NO","NO","YES"
"TURKEY","VAN","VAN EGITIM ARASTIRMA H","ISR61835","2.1",10/25/2019 12:16:46 PM,"NO","NO","YES"
"AUSTRIA","WIEN","INSTITUT FÜR MED UND C","ISR05314","1.1",10/25/2019 4:08:28 PM,"NO","NO","YES"
"CHINA","???","??????","ISR62668","1.3",10/25/2019 4:55:18 AM,"YES","NO","NO"
"CHINA","???","??????????","I1SR60619","1.2",10/25/2019 8:57:49 AM,"YES","NO","NO"
"FRANCE","NERAC","LBA","ISR54805","2.3",10/25/2019 1:43:55 PM,"YES","NO","YES"
"CHINA","??","??????????","ISR53155","1.2",10/25/2019 9:00:48 AM,"YES","NO","NO"
"SPAIN","TUDELA","HOSPITAL REINA SOFIA","ISR04668","1.1",10/25/2019 11:36:52 AM,"NO","NO","YES"
"CHINA","????","?????????","ISR51040","2.1",10/25/2019 9:18:14 AM,"NO","NO","YES"
"BELGIUM","LIEGE","Labo Dr. J.Collard SPR","ISR08124","1.1",10/25/2019 5:37:37 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR54844","2.2",10/25/2019 11:17:52 AM,"NO","NO","YES"
"KENYA","NAIROBI","KENYA MEDICAL SUPPLIES","ISR04833","1.3",10/25/2019 9:27:36 AM,"NO","NO","YES"
"CHINA","???","?????????","ISR61069","1.1",10/25/2019 9:05:47 AM,"NO","NO","YES"
"CHINA","???","??????????????","I202470","1.1",10/25/2019 8:23:40 AM,"NO","NO","YES"
"CHINA","???","???????????? ?????????","ISR60533","1.2",10/25/2019 10:59:11 AM,"NO","NO","YES"
"JAPAN","???","?????????","I1SR01802","1.3",10/25/2019 10:38:09 AM,"NO","NO","YES"
"ECUADOR","Quito","Hospital General Docen","ISR61977","2.1",10/25/2019 10:04:19 AM,"NO","NO","YES"
"TURKEY","IZMIR","IZMIR IL SAGLIK MUDURL","ISR07604","1.3",10/25/2019 1:39:25 AM,"YES","NO","NO"
"JAPAN","???","??????·??·??","ISR54638","2.1",10/25/2019 8:53:40 AM,"NO","NO","YES"
"GERMANY","Augsburg","SYNLAB MED. VERS. ZENT","ISR50600","2.2",10/25/2019 11:01:43 AM,"YES","NO","NO"
"ARGENTINA","SALTA","CTRO.REG.HEMOTERAPIA","ISR54701","2.1",10/25/2019 5:17:19 PM,"NO","NO","YES"
"SAUDI ARABIA","RIYADH","DR.SULAIMAN AL HABIB H","ISR55885","1.1",10/25/2019 4:07:10 AM,"NO","NO","YES"
"CHINA","???","????????????????","ISR54693","2.1",10/25/2019 12:58:40 AM,"NO","NO","YES"
"CHINA","???","???????????? ?????????","ISR51964","1.1",10/25/2019 8:12:21 AM,"NO","NO","YES"
"CHINA","???","???????","ISR51652","1.1",10/25/2019 3:09:50 PM,"YES","NO","YES"
"CHINA","???","??????????","ISR54654","2.1",10/25/2019 9:08:51 AM,"NO","NO","YES"
"JAPAN","???","??????·??·??","ISR55936","2.1",10/25/2019 8:07:45 AM,"NO","NO","YES"
"CHINA","???","??????????","I1SR03859","1.3",10/25/2019 8:31:33 AM,"YES","NO","NO"
"ITALY","TARANTO","Ospedale Santissima An","ISR02871","1.2",10/25/2019 8:38:53 AM,"YES","NO","NO"
"INDIA","AURANGABAD","METROPOLIS HEALTHCARE ","ISR62961","2.1",10/25/2019 7:42:52 PM,"NO","NO","YES"
"HONG KONG","KOWLOON","AP CARE LIMITED","ISR01814","1.1",10/25/2019 3:57:02 PM,"NO","NO","YES"
"CHINA","???","????????????","ISR62378","1.1",10/25/2019 9:11:43 AM,"NO","NO","YES"
"USA","MADISON","UW HOSPITALS AND CLINI","ISR54790","1.1",10/25/2019 8:04:10 AM,"NO","NO","YES"
"CHINA","???","????????????","ISR55070","1.1",10/25/2019 9:05:22 AM,"NO","NO","YES"
"SLOVAKIA","ZILINA 1","KLINICKA BIOCHEMIA ZIL","ISR05354","2.2",10/25/2019 1:49:13 PM,"NO","NO","YES"
"CHINA","??","????????????","ISR55755","2.1",10/25/2019 10:02:44 AM,"NO","NO","YES"
"JAPAN","???","????????????","ISR05664","2.1",10/25/2019 10:33:52 PM,"NO","NO","YES"
"GREECE","AGIA PARASKEYH","MIKROANALYSI AEBE","ISR01242","1.1",10/25/2019 1:02:30 PM,"NO","NO","YES"
"POLAND","RUDA SLASKA","KORLAB LABORATORIA MED","ISR50001","1.2",10/25/2019 1:18:05 PM,"NO","NO","YES"
"TURKEY","IZMIR","IZMIR IL SAGLIK MUDURL","ISR08462","1.2",10/25/2019 3:45:39 PM,"NO","NO","YES"
"CHINA","??","??????????","ISR50945","2.1",10/25/2019 12:00:48 PM,"NO","NO","YES"
"FRANCE","LES MARCHES","EUROFINS LABAZUR RHONE","ISR62525","2.1",10/25/2019 12:00:47 PM,"NO","NO","YES"
"RUSSIA","Moskva","CLINICAL HOSPITAL #83 ","ISR02123","1.3",10/25/2019 2:29:35 PM,"YES","NO","NO"
"CHINA","???","?????????? ???????????","ISR52734","2.1",10/25/2019 10:14:02 AM,"NO","NO","YES"
"CHINA","???","???????????????????","ISR62456","1.1",10/25/2019 10:14:28 AM,"NO","NO","YES"
"TURKEY","DIYARBAKIR","AMID DAL MERKEZI","ISR05078","1.1",10/25/2019 10:02:56 AM,"NO","NO","YES"
"CHINA","??","????????","ISR62402","1.1",10/25/2019 10:07:25 AM,"NO","NO","YES"
