PL_SN_MAP_ID,IOM_SN,MESSAGE,PL,SN,UPLOAD_DATE
88,ABT138,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT138,08/05/2019
89,ABT139,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT139,08/05/2019
90,ABT140,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT140,08/05/2019
91,ABT141,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT141,08/05/2019
92,ABT142,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT142,08/05/2019
93,ABT143,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT143,08/05/2019
94,ABT144,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT144,08/05/2019
95,ABT145,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT145,08/05/2019
96,ABT146,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT146,08/05/2019
97,ABT147,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT147,08/05/2019
98,ABT148,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT148,08/05/2019
99,ABT149,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT149,08/05/2019
100,ABT150,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT150,08/05/2019
101,ABT151,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT151,08/05/2019
102,ABT152,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT152,08/05/2019
103,ABT153,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT153,08/05/2019
104,ABT154,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT154,08/05/2019
105,ABT155,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT155,08/05/2019
106,ABT156,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT156,08/05/2019
107,ABT157,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT157,08/05/2019
108,ABT158,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT158,08/05/2019
109,ABT159,Carrier Did Not Pass - Centrifuge 2 Gate A,740,ABT159,08/05/2019
110,ABT018,Carrier Did Not Pass - Centrifuge Gate A,740,ABT018,08/05/2019
111,ABT019,Carrier Did Not Pass - Centrifuge Gate A,740,ABT019,08/05/2019
112,ABT023,Carrier Did Not Pass - Centrifuge Gate A,740,ABT023,08/05/2019
113,ABT024,Carrier Did Not Pass - Centrifuge Gate A,740,ABT024,08/05/2019
114,ABT026,Carrier Did Not Pass - Centrifuge Gate A,740,ABT026,08/05/2019
115,ABT027,Carrier Did Not Pass - Centrifuge Gate A,740,ABT027,08/05/2019
116,ABT028,Carrier Did Not Pass - Centrifuge Gate A,740,ABT028,08/05/2019
117,ABT030,Carrier Did Not Pass - Centrifuge Gate A,740,ABT030,08/05/2019
118,ABT034,Carrier Did Not Pass - Centrifuge Gate A,740,ABT034,08/05/2019
119,ABT036,Carrier Did Not Pass - Centrifuge Gate A,740,ABT036,08/05/2019
120,ABT037,Carrier Did Not Pass - Centrifuge Gate A,740,ABT037,08/05/2019
121,ABT041,Carrier Did Not Pass - Centrifuge Gate A,740,ABT041,08/05/2019
122,ABT042,Carrier Did Not Pass - Centrifuge Gate A,740,ABT042,08/05/2019
123,ABT045,Carrier Did Not Pass - Centrifuge Gate A,740,ABT045,08/05/2019
124,ABT047,Carrier Did Not Pass - Centrifuge Gate A,740,ABT047,08/05/2019
125,ABT049,Carrier Did Not Pass - Centrifuge Gate A,740,ABT049,08/05/2019
126,ABT050,Carrier Did Not Pass - Centrifuge Gate A,740,ABT050,08/05/2019
127,ABT051,Carrier Did Not Pass - Centrifuge Gate A,740,ABT051,08/05/2019
128,ABT054,Carrier Did Not Pass - Centrifuge Gate A,740,ABT054,08/05/2019
129,ABT058,Carrier Did Not Pass - Centrifuge Gate A,740,ABT058,08/05/2019
130,ABT059,Carrier Did Not Pass - Centrifuge Gate A,740,ABT059,08/05/2019
131,ABT060,Carrier Did Not Pass - Centrifuge Gate A,740,ABT060,08/05/2019
132,ABT061,Carrier Did Not Pass - Centrifuge Gate A,740,ABT061,08/05/2019
133,ABT062,Carrier Did Not Pass - Centrifuge Gate A,740,ABT062,08/05/2019
134,ABT063,Carrier Did Not Pass - Centrifuge Gate A,740,ABT063,08/05/2019
135,ABT065,Carrier Did Not Pass - Centrifuge Gate A,740,ABT065,08/05/2019
136,ABT066,Carrier Did Not Pass - Centrifuge Gate A,740,ABT066,08/05/2019
137,ABT067,Carrier Did Not Pass - Centrifuge Gate A,740,ABT067,08/05/2019
138,ABT068,Carrier Did Not Pass - Centrifuge Gate A,740,ABT068,08/05/2019
139,ABT069,Carrier Did Not Pass - Centrifuge Gate A,740,ABT069,08/05/2019
140,ABT070,Carrier Did Not Pass - Centrifuge Gate A,740,ABT070,08/05/2019
141,ABT073,Carrier Did Not Pass - Centrifuge Gate A,740,ABT073,08/05/2019
142,ABT074,Carrier Did Not Pass - Centrifuge Gate A,740,ABT074,08/05/2019
143,ABT075,Carrier Did Not Pass - Centrifuge Gate A,740,ABT075,08/05/2019
144,ABT077,Carrier Did Not Pass - Centrifuge Gate A,740,ABT077,08/05/2019
145,ABT078,Carrier Did Not Pass - Centrifuge Gate A,740,ABT078,08/05/2019
146,ABT080,Carrier Did Not Pass - Centrifuge Gate A,740,ABT080,08/05/2019
147,ABT081,Carrier Did Not Pass - Centrifuge Gate A,740,ABT081,08/05/2019
148,ABT082,Carrier Did Not Pass - Centrifuge Gate A,740,ABT082,08/05/2019
149,ABT083,Carrier Did Not Pass - Centrifuge Gate A,740,ABT083,08/05/2019
150,ABT084,Carrier Did Not Pass - Centrifuge Gate A,740,ABT084,08/05/2019
151,ABT086,Carrier Did Not Pass - Centrifuge Gate A,740,ABT086,08/05/2019
152,ABT088,Carrier Did Not Pass - Centrifuge Gate A,740,ABT088,08/05/2019
153,ABT089,Carrier Did Not Pass - Centrifuge Gate A,740,ABT089,08/05/2019
154,ABT091,Carrier Did Not Pass - Centrifuge Gate A,740,ABT091,08/05/2019
155,ABT092,Carrier Did Not Pass - Centrifuge Gate A,740,ABT092,08/05/2019
156,ABT093,Carrier Did Not Pass - Centrifuge Gate A,740,ABT093,08/05/2019
157,ABT094,Carrier Did Not Pass - Centrifuge Gate A,740,ABT094,08/05/2019
158,ABT096,Carrier Did Not Pass - Centrifuge Gate A,740,ABT096,08/05/2019
159,ABT097,Carrier Did Not Pass - Centrifuge Gate A,740,ABT097,08/05/2019
160,ABT098,Carrier Did Not Pass - Centrifuge Gate A,740,ABT098,08/05/2019
161,ABT099,Carrier Did Not Pass - Centrifuge Gate A,740,ABT099,08/05/2019
162,ABT100,Carrier Did Not Pass - Centrifuge Gate A,740,ABT100,08/05/2019
163,ABT101,Carrier Did Not Pass - Centrifuge Gate A,740,ABT101,08/05/2019
164,ABT102,Carrier Did Not Pass - Centrifuge Gate A,740,ABT102,08/05/2019
165,ABT104,Carrier Did Not Pass - Centrifuge Gate A,740,ABT104,08/05/2019
