a3600_deviceid,a3600_iom_serial_uc,a3600_productline,a3600_serialnumber_uc,flag_date,a3600_nodetype,errorcode,a3600_nodeid,a3600_layoutinstance,tubestoday,max_compl_date,error_count,error_percentage
183483,ACP128,852,ACP128DEC02,2019-10-23 00:00:00,DCM,1006,08,2,2712,2019-10-23 16:12:33,2,0.07374631268436578
183483,ACP128,852,ACP128DEC02,2019-10-24 00:00:00,DCM,1006,08,2,126,2019-10-24 06:27:00,2,1.5873015873015872
183483,ACP128,852,ACP128DEC02,2019-10-24 00:00:00,DCM,1006,08,2,2686,2019-10-24 06:27:00,2,0.07446016381236038
181428,ACP140,852,ACP140DEC01,2019-10-24 00:00:00,DCM,1006,04,1,1037,2019-10-24 11:01:49,4,0.3857280617164899
181428,ACP140,852,ACP140DEC01,2019-10-24 00:00:00,DCM,1006,04,1,1034,2019-10-24 11:01:49,4,0.38684719535783363
194524,ACP147,852,ACP147DEC01,2019-10-24 00:00:00,DCM,1006,03,1,152,2019-10-24 10:05:00,6,3.9473684210526314
195857,ACP150,852,ACP150DEC01,2019-10-23 00:00:00,DCM,1006,04,1,424,2019-10-23 00:27:30,2,0.4716981132075472
195857,ACP150,852,ACP150DEC01,2019-10-23 00:00:00,DCM,1006,04,1,1061,2019-10-23 00:27:30,2,0.1885014137606032
195857,ACP150,852,ACP150DEC01,2019-10-24 00:00:00,DCM,1006,04,1,1136,2019-10-24 23:44:47,4,0.352112676056338
195857,ACP150,852,ACP150DEC01,2019-10-24 00:00:00,DCM,1006,04,1,446,2019-10-24 23:44:47,4,0.8968609865470852
195857,ACP150,852,ACP150DEC03,2019-10-23 00:00:00,DCM,1006,06,3,424,2019-10-23 23:25:55,16,3.7735849056603774
195857,ACP150,852,ACP150DEC03,2019-10-23 00:00:00,DCM,1006,06,3,1060,2019-10-23 23:25:55,16,1.509433962264151
195857,ACP150,852,ACP150DEC03,2019-10-24 00:00:00,DCM,1006,06,3,451,2019-10-24 23:59:23,8,1.7738359201773837
195857,ACP150,852,ACP150DEC03,2019-10-24 00:00:00,DCM,1006,06,3,1141,2019-10-24 23:59:23,8,0.7011393514461
187640,ACP155,852,ACP155DEC01,2019-10-24 00:00:00,DCM,1006,03,1,471,2019-10-24 09:11:16,2,0.42462845010615713
208035,ACP156,852,ACP156DEC01,2019-10-24 00:00:00,DCM,1006,03,1,544,2019-10-24 14:24:22,6,1.1029411764705883
195832,ACP157,852,ACP157DEC01,2019-10-24 00:00:00,DCM,1006,06,1,2524,2019-10-24 02:45:51,8,0.31695721077654515
208909,ACP159,852,ACP159DEC01,2019-10-24 00:00:00,DCM,1006,03,1,392,2019-10-24 10:53:48,10,2.5510204081632653
190560,ACP166,852,ACP166DEC01,2019-10-24 00:00:00,DCM,1006,02,1,1399,2019-10-24 17:32:58,2,0.14295925661186562
207177,ACP172,852,ACP172DEC01,2019-10-24 00:00:00,DCM,1006,5,1,2,2019-10-24 12:02:14,6,300
207177,ACP172,852,ACP172DEC01,2019-10-24 00:00:00,DCM,1006,5,1,448,2019-10-24 12:02:14,6,1.3392857142857142
207177,ACP172,852,ACP172DEC02,2019-10-23 00:00:00,DCM,1006,6,2,399,2019-10-23 12:38:01,12,3.007518796992481
207177,ACP172,852,ACP172DEC02,2019-10-23 00:00:00,DCM,1006,6,2,2,2019-10-23 12:38:01,12,600
207177,ACP172,852,ACP172DEC02,2019-10-24 00:00:00,DCM,1006,6,2,2,2019-10-24 13:22:07,18,900
207177,ACP172,852,ACP172DEC02,2019-10-24 00:00:00,DCM,1006,6,2,447,2019-10-24 13:22:07,18,4.026845637583893
196237,ACP177,852,ACP177DEC02,2019-10-24 00:00:00,DCM,1006,09,2,1128,2019-10-24 10:16:56,2,0.1773049645390071
196237,ACP177,852,ACP177DEC02,2019-10-24 00:00:00,DCM,1006,09,2,4,2019-10-24 10:16:56,2,50
