SQL Statement which produced this data:
  SELECT 
     ROWID, PHM_ALGORITHM_IHN_SK, PHM_ALGORITHM_DEFINITIONS_SK, PHM_PATTERNS_SK, 
     IHN_CODE, IHN_LEVEL_1_DESCRIPTION, APP_AUDITS_CREATE_USER, 
     APP_AUDITS_MODIFY_USER, IHN_LEVEL_2_DESCRIPTION, IHN_LEVEL_3_DESCRIPTION, 
     DELETE_FLAG, APP_AUDITS_CREATE_DATE, APP_AUDITS_MODIFY_DATE, 
     ISSUE_DESCRIPTION
  FROM SVC_PHM_OWNER.PHM_ALGORITHM_IHNS;

PHM_ALGORITHM_IHN_SK,PHM_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,IHN_CODE,IHN_LEVEL_1_DESCRIPTION,APP_AUDITS_CREATE_USER,APP_AUDITS_MODIFY_USER,IHN_LEVEL_2_DESCRIPTION,IHN_LEVEL_3_DESCRIPTION,DELETE_FLAG,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_DATE,ISSUE_DESCRIPTION
1226,20020,20020,"PHN_APA_3100_7",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:10.000000 PM","7/23/2019 6:44:34.000000 PM",
1551,20370,20371,"PHN_Sapphire_AD31",,"LIJX8","CHANDSN",,,"N","2/13/2019 1:51:58.000000 PM","2/25/2019 10:55:08.000000 AM",
1552,20371,20372,"PHN_Sapphire_AD41",,"LIJX8","CHANDSN",,,"N","2/13/2019 1:55:22.000000 PM","2/25/2019 10:55:27.000000 AM",
1811,20650,20631,"PHN_Alinity_CC_B941",,"NISSECX","NISSECX",,,"N","8/12/2019 1:38:38.000000 PM","8/20/2019 1:56:17.000000 PM",
1491,20310,20311,,,"CHANDSN","CHANDSN",,,"N","11/13/2018 10:31:10.000000 AM","11/13/2018 12:08:35.000000 PM",
1492,20311,20312,,,"CHANDSN","LIJX8",,,"N","11/13/2018 11:11:45.000000 AM","10/1/2019 11:04:43.000000 AM",
1493,20312,20313,"PHN_Alinity_CC_B972",,"CHANDSN","CHANDSN",,,"N","11/13/2018 11:59:51.000000 AM","11/13/2018 12:11:43.000000 PM",
1351,20170,20171,,,"CHANDSN","CHANDSN",,,"N","6/29/2018 8:41:37.000000 AM","6/29/2018 8:45:22.000000 AM",
1494,20313,20314,"PHN_Alinity_CC_B973",,"CHANDSN","CHANDSN",,,"N","11/13/2018 12:49:31.000000 PM","11/13/2018 12:49:57.000000 PM",
1495,20314,20315,"PHN_Alinity_CC_B974",,"CHANDSN","CHANDSN",,,"N","11/13/2018 12:52:02.000000 PM","11/13/2018 12:52:20.000000 PM",
1496,20315,20316,"PHN_Alinity_CC_B975",,"CHANDSN","CHANDSN",,,"N","11/13/2018 12:54:23.000000 PM","11/13/2018 12:54:45.000000 PM",
1497,20316,20317,"PHN_Alinity_CC_B976",,"CHANDSN","CHANDSN",,,"N","11/13/2018 12:56:46.000000 PM","11/13/2018 12:57:25.000000 PM",
1498,20317,20318,"PHN_Alinity_CC_B978",,"CHANDSN","CHANDSN",,,"N","11/13/2018 12:59:52.000000 PM","11/13/2018 1:00:13.000000 PM",
1499,20318,20319,"PHN_Alinity_CC_B979",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:01:56.000000 PM","11/13/2018 1:02:13.000000 PM",
1500,20319,20320,"PHN_Alinity_CC_B97A",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:04:02.000000 PM","11/13/2018 1:04:25.000000 PM",
1501,20320,20321,"PHN_Alinity_CC_B97B",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:06:10.000000 PM","11/13/2018 1:06:32.000000 PM",
1502,20321,20322,"PHN_Alinity_CC_B97C",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:08:13.000000 PM","11/13/2018 1:08:37.000000 PM",
1503,20322,20323,"PHN_Alinity_CC_B97D",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:10:09.000000 PM","11/13/2018 1:10:28.000000 PM",
1504,20323,20324,"PHN_Alinity_CC_B97E",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:12:20.000000 PM","11/13/2018 1:12:56.000000 PM",
1505,20324,20325,"PHN_Alinity_CC_B97F",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:14:35.000000 PM","11/13/2018 1:14:52.000000 PM",
1506,20325,20326,"PHN_Alinity_CC_B97G",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:16:44.000000 PM","11/13/2018 1:17:01.000000 PM",
1507,20326,20327,"PHN_Alinity_CC_B97H",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:18:31.000000 PM","11/13/2018 1:18:46.000000 PM",
1508,20327,20328,"PHN_Alinity_CC_B97I",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:20:19.000000 PM","11/13/2018 1:20:35.000000 PM",
1509,20328,20329,"PHN_Alinity_CC_B97J",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:22:08.000000 PM","11/13/2018 1:22:29.000000 PM",
1510,20329,20330,"PHN_Alinity_CC_B97K",,"CHANDSN","CHANDSN",,,"N","11/13/2018 1:39:06.000000 PM","11/13/2018 1:40:23.000000 PM",
1086,20000,20000,"PHN_APA_3000_1",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:31.000000 PM","7/23/2019 6:19:28.000000 PM",
1087,20001,20001,"PHN_APA_3000_10",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:34.000000 PM","2/25/2019 6:13:22.000000 PM",
1088,20002,20002,"PHN_APA_3000_2",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:37.000000 PM","7/23/2019 6:34:43.000000 PM",
1089,20003,20003,"PHN_APA_3000_3",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:40.000000 PM","7/23/2019 6:35:29.000000 PM",
1090,20004,20004,"PHN_APA_3000_4",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:42.000000 PM","2/25/2019 6:03:50.000000 PM",
1091,20005,20005,"PHN_APA_3000_5",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:43.000000 PM","2/25/2019 6:10:55.000000 PM",
1092,20006,20006,"PHN_APA_3000_6",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:45.000000 PM","7/23/2019 6:36:16.000000 PM",
1093,20007,20007,"PHN_APA_3000_7",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:46.000000 PM","2/25/2019 5:59:48.000000 PM",
1094,20008,20008,"PHN_APA_3000_8",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:48.000000 PM","7/23/2019 6:37:00.000000 PM",
1095,20009,20009,"PHN_APA_3000_9",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:50.000000 PM","2/25/2019 6:15:51.000000 PM",
1096,20010,20010,"PHN_APA_3050_1",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:52.000000 PM","2/25/2019 6:28:22.000000 PM",
1097,20011,20011,"PHN_APA_3050_2",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:53.000000 PM","7/23/2019 6:38:33.000000 PM",
1098,20012,20012,"PHN_APA_3050_3",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 1:59:55.000000 PM","3/29/2018 1:59:55.000000 PM",
1099,20013,20013,"PHN_APA_3050_4",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:56.000000 PM","2/25/2019 6:26:07.000000 PM",
1100,20014,20014,"PHN_APA_3100_1",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:58.000000 PM","7/23/2019 6:39:38.000000 PM",
1221,20015,20015,"PHN_APA_3100_2",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 1:59:59.000000 PM","7/23/2019 6:40:11.000000 PM",
1222,20016,20016,"PHN_APA_3100_3",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:01.000000 PM","7/23/2019 6:40:52.000000 PM",
1223,20017,20017,"PHN_APA_3100_4",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:03.000000 PM","7/23/2019 6:42:33.000000 PM",
1224,20018,20018,"PHN_APA_3100_5",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:04.000000 PM","7/23/2019 6:43:06.000000 PM",
1225,20019,20019,"PHN_APA_3100_6",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:07.000000 PM","7/23/2019 6:43:46.000000 PM",
1227,20021,20021,"PHN_APA_3100_8",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:13.000000 PM","7/23/2019 6:45:48.000000 PM",
1228,20022,20022,"PHN_APA_3350_1",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:16.000000 PM","2/25/2019 8:27:00.000000 PM",
1229,20023,20023,"PHN_APA_3350_10",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:17.000000 PM","2/25/2019 8:45:16.000000 PM",
1230,20024,20024,"PHN_APA_3350_11",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:19.000000 PM","9/18/2019 9:00:02.000000 PM",
