Persons,2019-01-23T23:09:57.636774,82,4
Vehicles,2019-01-23T23:09:57.848366,79,5
Persons,2019-01-23T23:09:58.078477,83,3
Vehicles,2019-01-23T23:09:58.287187,80,5
Persons,2019-01-23T23:09:58.726043,84,3
Vehicles,2019-01-23T23:09:58.727893,81,5
Persons,2019-01-23T23:09:59.168974,85,3
Vehicles,2019-01-23T23:09:59.171225,82,5
Persons,2019-01-23T23:09:59.403395,86,2
Vehicles,2019-01-23T23:09:59.612559,83,5
Persons,2019-01-23T23:09:59.843789,87,3
Vehicles,2019-01-23T23:10:00.052477,84,5
Persons,2019-01-23T23:10:00.283443,88,2
Vehicles,2019-01-23T23:10:00.492069,85,5
Persons,2019-01-23T23:10:00.722566,89,2
Vehicles,2019-01-23T23:10:00.931971,86,5
Vehicles,2019-01-23T23:10:01.372822,87,5
Persons,2019-01-23T23:10:01.164052,90,2
Persons,2019-01-23T23:10:01.814276,91,1
Vehicles,2019-01-23T23:10:01.589710,88,5
Persons,2019-01-23T23:10:02.049105,92,2
Vehicles,2019-01-23T23:10:02.258806,89,5
Persons,2019-01-23T23:10:02.489321,93,1
Vehicles,2019-01-23T23:10:02.698504,90,6
Persons,2019-01-23T23:10:02.935619,94,0
Persons,2019-01-23T23:10:03.371893,95,1
Vehicles,2019-01-23T23:10:03.146934,91,6
Persons,2019-01-23T23:10:03.602584,96,1
Vehicles,2019-01-23T23:10:03.810882,92,5
Persons,2019-01-23T23:10:04.040787,97,2
Vehicles,2019-01-23T23:10:04.249446,93,5
Persons,2019-01-23T23:10:04.481071,98,3
Vehicles,2019-01-23T23:10:04.690207,94,4
Persons,2019-01-23T23:10:04.921432,99,4
Vehicles,2019-01-23T23:10:05.130832,95,6
Persons,2019-01-23T23:10:05.362524,100,4
Vehicles,2019-01-23T23:10:05.572190,96,6
Persons,2019-01-23T23:10:05.807538,101,5
Vehicles,2019-01-23T23:10:06.016916,97,5
Persons,2019-01-23T23:10:06.251109,102,5
Vehicles,2019-01-23T23:10:06.460447,98,5
Persons,2019-01-23T23:10:06.690765,103,5
Vehicles,2019-01-23T23:10:06.900789,99,5
Persons,2019-01-23T23:10:07.135661,104,4
Vehicles,2019-01-23T23:10:07.345340,100,6
Persons,2019-01-23T23:10:07.577747,105,4
Vehicles,2019-01-23T23:10:07.787912,101,6
Vehicles,2019-01-23T23:10:08.005010,102,6
Persons,2019-01-23T23:10:08.229993,106,4
Persons,2019-01-23T23:10:08.669152,107,4
Vehicles,2019-01-23T23:10:08.671336,103,6
Persons,2019-01-23T23:10:09.111677,108,4
Vehicles,2019-01-23T23:10:09.114375,104,6
Persons,2019-01-23T23:10:09.345453,109,4
Vehicles,2019-01-23T23:10:09.555708,105,6
Persons,2019-01-23T23:10:09.789190,110,4
Vehicles,2019-01-23T23:10:09.997676,106,7
Persons,2019-01-23T23:10:10.228916,111,4
Vehicles,2019-01-23T23:10:10.438157,107,7
Persons,2019-01-23T23:10:10.670980,112,4
Vehicles,2019-01-23T23:10:10.880755,108,7
Persons,2019-01-23T23:10:11.112626,113,4
Vehicles,2019-01-23T23:10:11.321589,109,7
Persons,2019-01-23T23:10:11.555334,114,4
Vehicles,2019-01-23T23:10:11.765364,110,6
Persons,2019-01-23T23:10:11.997942,115,4
Vehicles,2019-01-23T23:10:12.207623,111,6
Persons,2019-01-23T23:10:12.438744,116,4
Vehicles,2019-01-23T23:10:12.649626,112,6
Persons,2019-01-23T23:10:12.883885,117,5
Vehicles,2019-01-23T23:10:13.093020,113,6
Persons,2019-01-23T23:10:13.327996,118,5
Vehicles,2019-01-23T23:10:13.537654,114,6
Persons,2019-01-23T23:10:13.771040,119,5
Vehicles,2019-01-23T23:10:13.981550,115,5
Persons,2019-01-23T23:10:14.213976,120,5
Vehicles,2019-01-23T23:10:14.423021,116,5
Persons,2019-01-23T23:10:14.860721,121,4
Vehicles,2019-01-23T23:10:14.862800,117,6
Persons,2019-01-23T23:10:15.094679,122,4
Vehicles,2019-01-23T23:10:15.303870,118,6
Persons,2019-01-23T23:10:15.538661,123,5
Vehicles,2019-01-23T23:10:15.748570,119,6
Persons,2019-01-23T23:10:15.982236,124,5
Vehicles,2019-01-23T23:10:16.192963,120,6
Persons,2019-01-23T23:10:16.419972,125,5
Vehicles,2019-01-23T23:10:16.630449,121,5
Persons,2019-01-23T23:10:16.860209,126,5
Vehicles,2019-01-23T23:10:17.073384,122,5
Persons,2019-01-23T23:10:17.298259,127,5
Vehicles,2019-01-23T23:10:17.510260,123,5
Persons,2019-01-23T23:10:17.737097,128,4
Vehicles,2019-01-23T23:10:17.951231,124,5
Persons,2019-01-23T23:10:18.174919,129,5
Vehicles,2019-01-23T23:10:18.391912,125,6
Persons,2019-01-23T23:10:18.617207,130,5
Vehicles,2019-01-23T23:10:18.830061,126,6
Persons,2019-01-23T23:10:19.054748,131,5
Vehicles,2019-01-23T23:10:19.270998,127,6
Persons,2019-01-23T23:10:19.496005,132,4
Persons,2019-01-23T23:10:19.730421,133,4
Vehicles,2019-01-23T23:10:19.939189,128,6
Persons,2019-01-23T23:10:20.169297,134,4
Vehicles,2019-01-23T23:10:20.383080,129,6
Persons,2019-01-23T23:10:20.609390,135,4
Vehicles,2019-01-23T23:10:20.821394,130,6
Persons,2019-01-23T23:10:21.050689,136,5
Vehicles,2019-01-23T23:10:21.260547,131,6
Persons,2019-01-23T23:10:21.490043,137,5
Vehicles,2019-01-23T23:10:21.699258,132,6
Persons,2019-01-23T23:10:22.141742,138,5
Vehicles,2019-01-23T23:10:22.143968,133,6
Persons,2019-01-23T23:10:22.582610,139,6
Vehicles,2019-01-23T23:10:22.583457,134,6
Persons,2019-01-23T23:10:22.817827,140,6
Vehicles,2019-01-23T23:10:23.027220,135,6
Persons,2019-01-23T23:10:23.259944,141,5
Vehicles,2019-01-23T23:10:23.468935,136,5
Persons,2019-01-23T23:10:23.700437,142,6
Vehicles,2019-01-23T23:10:23.910056,137,6
Persons,2019-01-23T23:10:24.142080,143,6
Vehicles,2019-01-23T23:10:24.352188,138,6
Persons,2019-01-23T23:10:24.584426,144,6
Vehicles,2019-01-23T23:10:24.793467,139,6
Persons,2019-01-23T23:10:25.025887,145,6
Vehicles,2019-01-23T23:10:25.237113,140,6
Persons,2019-01-23T23:10:25.469919,146,6
Vehicles,2019-01-23T23:10:25.678874,141,5
Persons,2019-01-23T23:10:25.909198,147,6
Vehicles,2019-01-23T23:10:26.118202,142,6
Persons,2019-01-23T23:10:26.349665,148,6
Vehicles,2019-01-23T23:10:26.562425,143,6
Persons,2019-01-23T23:10:26.797908,149,5
Vehicles,2019-01-23T23:10:27.007504,144,6
Persons,2019-01-23T23:10:27.447322,150,5
Vehicles,2019-01-23T23:10:27.450680,145,6
Persons,2019-01-23T23:10:27.682407,151,5
Vehicles,2019-01-23T23:10:27.892520,146,6
Persons,2019-01-23T23:10:28.125581,152,6
Vehicles,2019-01-23T23:10:28.335217,147,6
Vehicles,2019-01-23T23:10:28.780552,148,6
Persons,2019-01-23T23:10:28.570249,153,4
Persons,2019-01-23T23:10:29.221160,154,4
Vehicles,2019-01-23T23:10:28.994805,149,6
Persons,2019-01-23T23:10:29.452702,155,6
Vehicles,2019-01-23T23:10:29.662271,150,6
Persons,2019-01-23T23:10:29.893584,156,6
Vehicles,2019-01-23T23:10:30.103849,151,6
Vehicles,2019-01-23T23:10:30.323055,152,5
Persons,2019-01-23T23:10:30.548046,157,6
Persons,2019-01-23T23:10:30.778206,158,5
Vehicles,2019-01-23T23:10:30.988676,153,5
Persons,2019-01-23T23:10:31.217289,159,5
Vehicles,2019-01-23T23:10:31.427542,154,5
Vehicles,2019-01-23T23:10:31.650576,155,5
Persons,2019-01-23T23:10:31.875652,160,6
Vehicles,2019-01-23T23:10:32.090043,156,4
Persons,2019-01-23T23:10:32.313452,161,6
Vehicles,2019-01-23T23:10:32.755343,157,4
Persons,2019-01-23T23:10:32.757216,162,6
Vehicles,2019-01-23T23:10:32.974298,158,4
Persons,2019-01-23T23:10:33.197433,163,7
Vehicles,2019-01-23T23:10:33.414639,159,4
Persons,2019-01-23T23:10:33.641431,164,5
Vehicles,2019-01-23T23:10:33.855813,160,4
Persons,2019-01-23T23:10:34.080376,165,7
Vehicles,2019-01-23T23:10:34.298736,161,4
Persons,2019-01-23T23:10:34.523081,166,7
Vehicles,2019-01-23T23:10:34.740248,162,4
Persons,2019-01-23T23:10:34.964185,167,6
Vehicles,2019-01-23T23:10:35.405771,163,4
Persons,2019-01-23T23:10:35.408202,168,6
Vehicles,2019-01-23T23:10:35.627554,164,4
Persons,2019-01-23T23:10:35.852349,169,7
Vehicles,2019-01-23T23:10:36.069359,165,4
Persons,2019-01-23T23:10:36.294802,170,7
Vehicles,2019-01-23T23:10:36.513924,166,5
Persons,2019-01-23T23:10:36.739219,171,7
Vehicles,2019-01-23T23:10:36.955748,167,5
Persons,2019-01-23T23:10:37.180806,172,7
Persons,2019-01-23T23:10:37.415706,173,7
Vehicles,2019-01-23T23:10:37.625349,168,5
Persons,2019-01-23T23:10:37.858816,174,7
Vehicles,2019-01-23T23:10:38.069860,169,6
Persons,2019-01-23T23:10:38.303971,175,5
Vehicles,2019-01-23T23:10:38.515100,170,7
Persons,2019-01-23T23:10:38.748595,176,6
Vehicles,2019-01-23T23:10:38.959572,171,7
Persons,2019-01-23T23:10:39.188730,177,5
Vehicles,2019-01-23T23:10:39.398631,172,7
Persons,2019-01-23T23:10:39.631925,178,6
Vehicles,2019-01-23T23:10:39.841805,173,7
Persons,2019-01-23T23:10:40.073189,179,5
Vehicles,2019-01-23T23:10:40.282908,174,7
Persons,2019-01-23T23:10:40.512176,180,5
Vehicles,2019-01-23T23:10:40.721223,175,4
Persons,2019-01-23T23:10:40.952611,181,6
Vehicles,2019-01-23T23:10:41.164790,176,4
Persons,2019-01-23T23:10:41.396202,182,6
Vehicles,2019-01-23T23:10:41.605827,177,4
Persons,2019-01-23T23:10:41.836837,183,5
Vehicles,2019-01-23T23:10:42.046900,178,4
Persons,2019-01-23T23:10:42.278250,184,5
Vehicles,2019-01-23T23:10:42.488845,179,5
Persons,2019-01-23T23:10:42.720701,185,3
Vehicles,2019-01-23T23:10:42.929633,180,6
Persons,2019-01-23T23:10:43.161247,186,3
Vehicles,2019-01-23T23:10:43.372037,181,7
Persons,2019-01-23T23:10:43.607427,187,2
Vehicles,2019-01-23T23:10:43.816061,182,5
Persons,2019-01-23T23:10:44.049183,188,3
Vehicles,2019-01-23T23:10:44.258854,183,5
Persons,2019-01-23T23:10:44.490506,189,2
Vehicles,2019-01-23T23:10:44.699864,184,7
Persons,2019-01-23T23:10:44.934309,190,2
Vehicles,2019-01-23T23:10:45.144427,185,5
Persons,2019-01-23T23:10:45.375865,191,2
Vehicles,2019-01-23T23:10:45.585536,186,4
