COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"CHINA","???","????????????","ISR53829","2.1",6/30/2019 9:12:54 AM,"YES","NO","NO"
"CHINA","??","????????","ISR54612","2.1",6/30/2019 1:03:19 PM,"NO","NO","YES"
"CHINA","???","?????????","ISR51718","1.1",6/30/2019 10:22:36 AM,"NO","NO","YES"
"JAPAN","???","?????? ??????????????","ISR63299","1.1",6/30/2019 12:36:45 PM,"NO","NO","YES"
"CHINA","???","?????????????(?????? ?","ISR50074","1.1",6/30/2019 8:40:45 AM,"NO","NO","YES"
"CHINA","??","??????????","ISR07425","2.1",6/30/2019 1:52:48 PM,"NO","NO","YES"
"SOUTH KOREA","???","??????????(??????)","ISR04745","2.3",6/30/2019 9:17:04 AM,"YES","NO","NO"
"CHINA","???","??????????????","ISR51839","2.1",6/30/2019 11:05:11 AM,"NO","NO","YES"
"PHILIPPINES","null","GSE - CEBU DOCTORS HOS","I1SR54826","1.2",6/30/2019 12:53:59 AM,"YES","NO","NO"
"CHINA","???","??????????","ISR54408","1.1",6/30/2019 9:09:29 AM,"NO","NO","YES"
"CHINA","??","??????????","ISR53569","1.1",6/30/2019 9:43:28 AM,"NO","NO","YES"
"SOUTH KOREA","?????","(??) ??????","ISR51957","2.1",6/30/2019 12:52:21 AM,"NO","NO","YES"
"CHINA","???","????????","ISR50145","2.2",6/30/2019 9:31:17 AM,"YES","NO","YES"
"PHILIPPINES","MANILA","METROPOLITAN HOSPITAL","I1SR54206","1.1",6/30/2019 12:52:38 AM,"YES","NO","NO"
"CHINA","???/027","????????????????????","ISR54874","2.1",6/30/2019 3:20:22 PM,"NO","NO","YES"
"INDONESIA","JAKARTA","PMI DKI JAKARTA - KRAM","ISR52674","1.1",6/30/2019 12:05:53 AM,"NO","NO","YES"
"CHINA","???","??????????","I1SR60619","1.2",6/30/2019 8:39:52 AM,"YES","NO","NO"
"CHINA","???","??????????","ISR55098","2.1",6/30/2019 10:19:23 AM,"NO","NO","YES"
"UK","LONDON","HAMMERSMITH HOSPITAL","ISR06912","1.1",6/30/2019 12:19:45 AM,"NO","NO","YES"
"TURKEY","ISTANBUL","MEDICAL PARK-BAHCELIEV","ISR07411","1.1",6/30/2019 12:45:16 AM,"NO","NO","YES"
"CHINA","???","??????????? ??????? ??","ISR54771","2.1",6/30/2019 11:03:32 AM,"NO","NO","YES"
"USA","CHICAGO","LOUIS A WEISS MEMORIAL","I1SR53491","1.1",6/30/2019 2:10:31 AM,"NO","NO","YES"
"USA","BUTLER","BUTLER MEMORIAL HOSPIT","ISR05456","2.2",6/30/2019 1:08:16 AM,"YES","NO","YES"
"RUSSIA","MOSCOW","OOO MOBIL MEDIKAL LAB","ISR54797","1.3",6/30/2019 2:22:51 PM,"YES","NO","NO"
"CHINA","???","???????????? ???????? ","ISR55596","2.1",6/30/2019 11:45:08 AM,"NO","NO","YES"
"SOUTH KOREA","null","??????","ISR05564","2.1",6/30/2019 1:41:15 AM,"NO","NO","YES"
"JAPAN","???","?????? ???????????????","ISR63141","2.1",6/30/2019 9:55:51 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR53281","2.1",6/30/2019 11:51:02 AM,"NO","NO","YES"
"CHINA","???","????????????","ISR50027","2.1",6/30/2019 8:49:59 AM,"NO","NO","YES"
"PHILIPPINES","null","GREPCOR COTABATO REGIO","I1SR56728","1.1",6/30/2019 8:40:33 AM,"YES","NO","NO"
"JAPAN","???","??????·??·??","ISR54779","1.1",6/30/2019 10:29:07 AM,"NO","NO","YES"
"CHINA","???","???????????? ???????? ","ISR55957","1.1",6/30/2019 12:24:17 PM,"NO","NO","YES"
"BRAZIL","DUQUE DE CAXIAS - RJ","DASA RJ - NTO Laborato","ISR07563","2.1",6/30/2019 1:09:26 AM,"NO","NO","YES"
"CHINA","??","???????????????","ISR54674","2.2",6/30/2019 2:25:04 AM,"NO","NO","YES"
"CHINA","??","??????????????","ISR55726","2.2",6/30/2019 11:07:36 AM,"NO","NO","YES"
"CHINA","??","????????????(?????????","ISR62473","2.1",6/30/2019 11:49:54 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR54806","2.1",6/30/2019 10:18:33 AM,"NO","NO","YES"
"CHINA","???","??????????","ISR62651","2.1",6/30/2019 12:41:00 PM,"NO","NO","YES"
"JAPAN","???","?????? ???????????????","ISR63158","2.1",6/30/2019 9:52:33 AM,"NO","NO","YES"
"JAPAN","???","?????? ?????????????","ISR62891","2.1",6/30/2019 3:46:15 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR51726","2.1",6/30/2019 8:52:50 AM,"NO","NO","YES"
